County,Month,Calendar Year,CalFresh Persons,CalFresh Households,Child Only Persons,Total Issuances,Caseload Total Student Count,All Federal Persons,All CFAP Persons,Total SSI Persons in SNB Households,Total SSI  Persons in TNB Households,State Issuances,EBT_SNB_dollars,EBT_TNB_dollars,Unemployment Monthly,Active Error Rate,Negative Error Rate,Negative Error Rate on Completed Cases,Applications Approved Containing at Least One Student,Applications Denied Containing at Least One Student,Applications Pended Containing at Least One Student,New Apps with at Least Some SSI - Approved,New Apps with at Least Some SSI - Denied,Ineligible Denials - SSI,Procedural Denials - SSI,SSI Only - Ineligible Denials,SSI Only Procedural Denials,Online Apps - SSI,Non-Online Apps - SSI,Applications Received,Online Applications Received,All_GCF_apps_submit,CfA_GCF_apps_submit,CBO_GCF_apps_submit,SSA_GCF_apps_submit,Average Age of SSI Persons Newly Applying,Average Days to Dispose - SSI,Average Approved Benefit - SSI,Denial reason - CF Missed Interview,Denial Reason - FTP Income,Denial Reason - Failed to Complete Determination,Denial Reason - Ineligible,Denial Reason - Ineligible CF Student,Denial Reason - Unavailable,Denial Reason - Out of the Home,Denial Reason - Over Income,Denial Reason - Procedural,Applications Submitted via BenefitsCal,Applications Submitted via Code for America,Applications Submitted via Other Online Source,Applications Submitted via Other Source,New Applications Age  17 and Under,New Applications Age 8 to 49,New Applications Age 50 and Over,New Applications Age Total,New Applications Avg Age,New Applications - ICT Transfers,New Applications Language Armenian,New Applications Language Cambodian,New Applications Language Cantonese,New Applications Language English,New Applications Langugage Farsi,New Applications Language Korean,New Applications Language Mandarin,New Applications Language  Other,New Applications Language Russian,New Applications Language Spanish,New Applications Language Vietnamese,New Applications Language Missing,New Applications Language Total,New Applications Hispanic,New Applications White,New Application Asian,New Applications Black or African_American,New Applications More Than One Race/Ethnicity,New Applications American Indian Alaskan Native,"New Applications Native Hawaiian Pacific Islander ",New Applications Other Race/Ethnicity,New Applications Unknown Race/Ethnicity,New Applications Race/Ethnicity Total,New Applications Gender Female,New Applications Gender Male,New Applications Gender Other,New Applications Gender Declined_to_State,New Applications Gender Total,New Applications Exemptions- Employment and Training Program,New Applications Exemptions-Other Employment and Training Program,New Applications Exemptions-LPIE,New Applications Exemptions- Employed 20 Hours Week,New Applications Exemptions-Care of a Child,New Applications Exemptions- Work Study,SSI Disposed HH Language - Armenian,SSI Disposed HH Language - Cambodian,SSI Disposed HH Language - Cantonese,SSI Disposed HH Language - English,SSI Disposed HH Language - Farsi,SSI Disposed HH Language - Korean,SSI Disposed HH Language - Mandarin,SSI Disposed HH Language - Other,SSI Disposed HH Language - Russian,SSI Disposed HH Language - Spanish,SSI Disposed HH Language - Vietnamese," SSI Person Race/Ethnicity - Hispanic"," SSI Person Race/Ethnicity - White"," SSI Person Race/Ethnicity - Asian"," SSI Person Race/Ethnicity - Black or African American"," SSI Person Race/Ethnicity - More Than One Race/Ethnicity"," SSI Person Race/Ethnicity - American Indian or Alaska Native"," SSI Person Race/Ethnicity - Native Hawaiian or Other Pacific Islander"," SSI Person Race/Ethnicity - Other"," SSI Person Race/Ethnicity - Unknown",SSI Persons in New Apps Disposed,SSI-only HHs of 1 added in the month,SSI-only HHs of 2 added in the month,SSI only-HHs of 3+ added in the month,Total SSI-only HHs added in the month,Claim Shelter Deduction - SSI,Claim Standard Medical Deduction - SSI,"Claim Homeless Deduction - SSI "
Lake,February,2026,"15,763","10,019",,"$2,956,393",189,,,56,20,"$7,698","9,289","2,833",7.80%,3.76%,14.29%,42,8,12,7,12,3,0,3,0,0,8,7,384,185,,,,,45,13,148,1,0,1,5,0,0,0,1,3,16,1,0,10,0,,,37,30.56756757,4,0,0,0,37,0,0,0,0,0,0,0,0,37,,20,0,,,,0,0,,37,19,,0,,37,,,,,,,0,0,0,14,0,0,0,0,0,1,0,*,17,0,*,*,0,0,0,*,27,8,2,0,10,8,1,0
Lassen,February,2026,"3,863","2,292",,"$741,849",215,,,*,*,"$2,028","1,245",797,7.80%,3.76%,14.29%,42,6,3,6,2,0,0,0,0,0,2,0,87,33,,,,,43,47,287,0,0,1,0,0,0,0,1,0,9,0,0,6,0,21,0,21,24.28571429,2,0,0,0,21,0,0,0,0,0,0,0,0,21,,,,,,,0,,,21,13,,,,21,18,,,15,,,0,0,0,2,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,*,0,0,0,0,0,1,0
Los Angeles,February,2026,"1,451,967","925,646",,"$291,673,345",53657,,,"1,554",236,"$3,089,153","233,811","34,407",5.60%,11.32%,26.67%,60,2514,2664,2211,"1,428",534,231,297,30,34,723,1239,"43,925","23,783",,,,,48,11,192,699,541,92,706,0,0,88,330,202,5602,4,16,1767,,9439,,9579,25.01795595,94,0,0,,8690,,,,48,17,774,14,,9579,3177,1148,774,1129,2497,14,17,207,616,9579,6207,3294,42,36,9579,6407,4245,2325,696,1062,435,15,3,15,"1,426",11,23,22,19,11,402,15,"1,312",616,446,760,401,*,11,70,170,"3,791",998,62,0,"1,060",1325,9,22
Madera,February,2026,"32,923","16,228",,"$6,178,883",845,,,53,*,"$31,252","8,248",493,8.60%,3.76%,14.29%,42,41,32,32,22,7,3,4,0,0,5,24,750,352,,,,,40,16,234,4,6,6,2,0,0,0,1,13,4,0,59,42,,140,,143,24.45454545,2,0,0,0,110,0,0,0,0,0,33,0,0,143,56,22,,0,41,0,0,,21,143,95,48,0,0,143,62,54,11,21,18,0,0,0,0,18,0,0,0,1,0,10,0,19,12,0,*,*,0,0,*,12,47,12,2,0,14,18,0,0
Marin,February,2026,"14,848","10,360",,"$2,975,771",405,,,18,*,"$51,216","2,521","1,471",4.10%,3.76%,14.29%,42,23,32,7,11,2,2,0,0,0,3,10,439,236,,,,,50,6,125,7,4,1,14,0,0,1,1,4,46,0,2,14,0,,,75,25.61333333,5,0,0,0,61,0,0,0,0,0,14,0,0,75,15,21,,,27,0,0,,,75,43,,,0,75,28,19,,12,,,0,0,0,10,2,0,0,0,0,1,0,*,*,0,*,*,0,0,*,*,21,8,1,0,9,6,0,0
Mariposa,February,2026,"2,881","1,741",,"$531,593",33,,,*,*,$746,922,250,7.30%,3.76%,14.29%,42,1,0,2,0,0,0,0,0,0,0,0,68,27,,,,,47,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,,0,,26,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*,0,0,0,*,0,0,0,0,0,0,0
Mendocino,February,2026,"15,828","10,001",,"$2,997,265",298,,,30,*,"$11,300","4,604",605,6.30%,3.76%,14.29%,42,10,17,13,13,5,2,2,0,0,3,15,481,228,,,,,48,11,175,3,0,5,1,0,0,0,2,6,16,0,13,11,0,53,0,53,30.30188679,1,0,0,0,,0,0,0,0,0,,0,0,53,,23,0,0,16,,0,0,,53,39,,,,53,23,,13,,11,,0,0,0,16,0,0,0,0,0,2,0,*,21,0,0,0,*,0,0,*,30,10,0,0,10,5,1,1
Merced,February,2026,"60,999","31,574",,"$11,634,682",2566,,,191,31,"$41,728","30,384","4,502",10.90%,8.89%,0.00%,2,117,94,109,46,27,10,15,0,1,25,48,"1,498",682,,,,,43,17,354,32,13,0,6,0,0,2,9,32,230,0,0,90,0,,,403,23.56327543,7,0,0,0,361,0,0,0,,0,,0,0,403,147,55,32,26,131,,,,,403,196,135,,,403,162,94,107,44,50,39,0,0,0,57,0,0,0,2,0,14,0,49,33,13,15,18,*,0,0,*,135,24,0,0,24,45,1,0
Modoc,February,2026,"1,692","1,019",,"$285,966",,,,*,0,$298,"1,459",0,9.30%,3.76%,14.29%,42,0,0,0,2,0,0,0,0,0,0,2,50,18,,,,,58,17,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,*,0,0,0,*,0,0,*,*,2,0,0,2,2,0,0
Mono,February,2026,800,501,,"$159,874",,,,*,0,"$1,000",233,0,4.10%,3.76%,14.29%,42,1,3,0,0,0,0,0,0,0,0,0,18,10,,,,,47,0,0,1,0,1,1,0,0,0,0,0,2,0,0,2,0,,0,,27.33333333,1,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0
Monterey,February,2026,"58,532","30,696",,"$11,427,460",1642,,,60,*,"$46,320","9,632",899,10.80%,7.24%,14.29%,42,115,119,92,25,23,8,15,0,1,17,31,"1,789",803,,,,,35,17,265,15,12,17,29,0,0,4,20,22,114,0,107,105,0,409,0,409,23.47677262,9,0,0,0,354,0,0,0,,0,,0,0,409,162,60,,,119,0,,,48,409,268,131,,,409,272,158,116,29,38,,0,0,0,30,0,0,0,1,0,17,0,32,*,*,*,*,0,*,0,12,69,11,0,0,11,26,0,0
Napa,February,2026,"10,389","6,411",,"$1,869,350",247,,,*,*,"$11,935","1,355",512,4.60%,3.76%,14.29%,42,9,34,15,4,5,1,4,0,0,2,7,340,146,,,,,39,20,220,4,8,1,9,0,0,0,2,10,38,0,0,20,0,,,75,24.97333333,4,0,0,0,66,0,0,0,0,0,,,0,75,,18,,,34,0,0,0,,75,41,,,0,75,28,16,12,,,,0,0,0,7,0,0,0,0,0,2,0,*,*,*,0,*,0,0,*,*,14,1,0,0,1,4,0,0
Nevada,February,2026,"11,302","7,557",,"$2,231,322",275,,,*,0,"$2,767","1,432",0,4.90%,3.76%,14.29%,42,12,11,14,5,1,0,1,0,0,2,4,361,200,,,,,54,21,178,1,0,2,1,0,0,0,0,7,27,0,0,10,0,,,51,32.7254902,2,0,0,0,,0,0,0,0,0,,0,0,51,,37,0,,,0,0,0,,51,38,,0,,51,,,,14,12,,0,0,0,6,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,*,*,4,0,0,4,3,0,0
Orange,February,2026,"288,826","180,291",,"$55,524,777",15683,,,481,50,"$666,297","68,738","9,582",4.00%,14.04%,30.77%,13,731,995,843,187,119,41,74,4,4,123,183,"9,917","5,506",,,,,54,15,190,293,30,243,180,0,1,6,99,143,1909,2,36,622,,3022,,3061,24.33191767,61,0,0,,2856,,,,,0,139,41,,3061,841,468,620,133,543,,,95,339,3061,1825,1114,19,103,3061,1550,825,794,439,258,127,0,0,1,211,4,8,1,3,0,45,33,150,115,170,16,*,*,*,30,77,572,121,13,0,134,168,4,0
Placer,February,2026,"27,835","16,592",,"$5,235,690",813,,,35,0,"$73,723","4,951",0,4.30%,3.76%,14.29%,42,29,52,50,26,13,7,6,1,0,25,14,940,631,,,,,53,15,240,7,10,6,10,0,0,2,8,9,100,0,1,30,0,,,185,27.24324324,26,0,0,0,178,,0,0,,,,0,0,185,18,65,,12,40,0,,12,26,185,123,58,,,185,53,24,31,36,45,21,0,0,0,37,2,0,0,0,0,0,0,*,21,12,*,12,*,0,*,24,86,18,0,0,18,25,0,0
Plumas,February,2026,"2,355","1,551",,"$446,052",292,,,*,*,$835,"1,200",301,10.70%,3.76%,14.29%,42,22,6,9,1,1,0,1,0,0,1,1,77,48,,,,,57,14,56,2,0,4,0,0,0,0,0,0,30,0,0,7,0,41,0,41,20.24390244,0,0,0,0,41,0,0,0,0,0,0,0,0,41,0,26,,0,,,0,0,,41,,23,,0,41,39,0,34,,,,0,0,0,2,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,1,0,0,1,1,0,0
Riverside,February,2026,"321,231","181,055",,"$61,674,705",8032,,,281,37,"$248,330","44,934","5,839",5.40%,11.96%,18.18%,11,474,684,606,371,179,65,111,2,4,295,255,"12,138","8,042",,,,,41,16,239,183,64,82,136,0,0,7,89,122,441,1,1020,302,,2063,,2107,25.42192691,42,0,0,0,1987,0,,,,0,107,,0,2107,505,280,144,192,625,,,40,307,2107,1412,640,11,44,2107,703,302,433,291,390,86,0,0,0,435,1,2,2,4,0,104,2,214,153,36,120,96,*,*,17,152,791,231,10,0,241,338,2,2
Sacramento,February,2026,"258,528","142,372",,"$49,203,298",9490,,,910,129,"$763,771","136,041","19,984",5.00%,10.12%,40.00%,10,416,508,365,241,118,39,78,5,3,145,214,"7,528","4,329",,,,,45,11,223,93,19,111,103,0,0,9,81,85,967,2,1,319,,1618,,1650,25.58484848,47,0,0,,1539,16,,0,21,21,46,,0,1650,252,251,165,218,474,,,129,138,1650,1092,501,15,42,1650,596,314,311,334,214,64,0,0,1,322,3,1,0,8,7,14,3,71,117,75,143,39,*,*,64,90,614,149,12,0,161,218,4,2
San Benito,February,2026,"6,864","3,730",,"$1,308,757",164,,,*,*,"$3,184","1,102",221,7.30%,3.76%,14.29%,42,11,4,7,2,3,2,1,0,0,3,2,190,98,,,,,51,13,267,0,0,2,0,0,0,0,1,1,12,0,0,10,0,31,0,31,23.16129032,5,0,0,0,,0,0,0,0,0,,0,0,31,12,,,0,,0,0,0,,31,18,,0,,31,13,,,,,,0,0,0,4,0,0,0,0,0,1,0,*,*,*,0,*,0,0,0,0,*,1,0,0,1,3,0,0
San Bernardino,February,2026,"352,971","190,011",,"$67,697,607",8389,,,643,163,"$216,152","102,151","24,015",5.30%,8.01%,18.75%,16,329,671,641,295,206,66,136,4,2,219,282,"9,958","5,907",,,,,43,21,264,145,0,234,118,0,0,6,72,93,521,0,764,356,,2046,,2080,26.10673077,63,0,0,0,1995,0,0,,0,0,80,,0,2080,528,314,93,274,612,,,26,224,2080,1420,628,,,2080,453,260,219,322,413,111,0,0,1,413,0,3,1,4,0,76,3,222,165,52,175,102,*,*,*,129,858,171,7,0,178,261,1,1
San Diego,February,2026,"373,193","226,412",,"$71,826,898",19467,,,844,22,"$760,119","123,086","3,686",4.50%,8.30%,52.38%,21,1078,1446,1498,338,183,66,115,3,3,319,202,"15,416","11,541",,,,,47,19,238,346,216,118,435,0,2,15,202,107,3626,6,13,377,,4592,,4673,24.13995292,35,0,0,0,4389,,,0,29,,236,,,4673,820,713,373,264,1439,,,216,826,4673,2859,1737,23,54,4673,2182,975,1274,757,367,291,0,1,4,394,3,1,2,10,2,98,6,218,139,51,72,76,0,*,58,176,791,213,18,2,233,306,4,2
San Francisco,February,2026,"107,188","79,870",,"$20,340,784",3901,,,252,22,"$421,565","32,931","2,958",3.90%,4.40%,40.00%,5,186,233,161,88,33,7,24,1,0,56,65,"3,217","2,052",,,,,57,12,157,42,10,58,71,0,0,5,21,25,513,0,1,66,0,716,11,727,25.28748281,32,0,0,,706,0,0,0,,,12,0,0,727,65,124,63,68,250,,,52,99,727,418,245,26,38,727,346,129,189,125,26,87,0,0,14,98,0,0,0,1,0,5,3,21,20,37,37,18,*,*,13,68,216,69,4,0,73,63,0,0
San Joaquin,February,2026,"118,097","65,098",,"$21,959,654",2172,,,354,76,"$134,581","54,680","12,729",6.80%,4.03%,0.00%,5,125,201,138,100,61,38,21,5,0,72,89,"3,334","1,988",,,,,45,17,238,21,6,40,37,0,0,6,38,52,247,1,106,110,0,585,16,601,25.52412646,16,0,0,,555,,0,0,,0,41,,0,601,109,85,74,71,171,,,,78,601,421,169,,,601,111,77,36,77,112,18,0,0,0,141,0,0,0,2,0,15,3,48,61,59,55,33,0,*,*,68,331,47,8,0,55,99,0,0
San Luis Obispo,February,2026,"29,806","22,218",,"$6,258,782",7792,,,36,*,"$13,397","4,745","1,149",4.40%,3.76%,14.29%,42,575,226,350,18,13,3,9,0,1,9,22,"1,657","1,250",,,,,56,19,164,60,19,81,32,0,0,0,15,18,1109,1,1,40,,1323,,1326,20.69004525,9,0,0,0,,0,0,0,0,0,,0,0,1326,107,496,28,,379,,,43,263,1326,776,532,,,1326,1200,63,1105,30,14,,0,0,0,28,0,0,0,0,0,3,0,*,21,*,0,*,*,0,0,15,43,16,0,0,16,16,0,0
San Mateo,February,2026,"32,740","21,617",,"$6,195,017",647,,,76,*,"$87,547","10,058","1,124",3.70%,3.76%,14.29%,42,29,85,85,19,23,6,15,1,1,11,31,"1,587",865,,,,,49,16,154,12,10,18,20,0,0,2,15,7,157,0,1,41,,234,,238,25.48319328,8,0,0,,219,0,0,,0,0,,0,0,238,50,30,26,,87,,,13,20,238,148,78,,,238,63,39,36,47,,11,0,0,4,28,0,0,0,1,1,8,0,17,*,*,*,*,*,*,*,18,64,15,0,0,15,16,0,0
Santa Barbara,February,2026,"55,979","34,705",,"$11,528,114",7473,,,84,0,"$49,621","12,988",0,5.20%,3.76%,14.29%,42,522,282,297,38,14,9,5,1,0,17,35,"2,073","1,333",,,,,45,17,248,69,34,41,93,0,0,4,16,23,1009,0,3,89,,1314,,1323,21.25170068,11,0,0,0,1266,0,0,0,0,0,57,0,0,1323,149,384,54,33,521,,,43,136,1323,794,461,11,57,1323,964,916,104,118,31,138,0,0,0,37,0,0,0,1,0,14,0,16,43,*,*,*,0,0,*,20,91,22,1,0,23,33,1,0
Santa Clara,February,2026,"126,144","83,067",,"$24,120,328",4369,,,304,28,"$253,952","42,561","4,496",4.10%,9.79%,16.67%,6,301,305,242,103,39,18,19,0,.,52,90,"3,903","2,153",,,,,55,17,192,56,11,47,81,0,0,2,42,61,685,1,1,161,,1071,,1081,24.13043478,41,0,,,1003,,0,,,0,40,25,0,1081,231,128,154,62,341,,,50,112,1081,649,415,,,1081,590,308,273,115,92,54,0,1,0,.,1,0,2,3,3,.,23,.,34,84,13,.,*,*,16,.,285,77,6,0,83,92,.,0
Santa Cruz,February,2026,"31,124","20,958",,"$6,378,347",4210,,,34,*,"$15,472","5,301",797,7.20%,3.76%,14.29%,42,236,141,123,20,10,2,8,0,0,11,19,"1,138",721,,,,,52,10,265,50,1,28,33,0,0,1,13,13,429,0,2,69,0,,,583,22.07375643,7,0,0,0,553,0,0,0,0,0,30,0,0,583,85,140,28,15,196,,,16,100,583,329,204,20,30,583,403,150,264,30,18,62,0,1,0,20,0,0,0,0,1,8,0,23,17,*,0,*,0,0,*,17,61,13,1,0,14,17,1,0
Shasta,February,2026,"30,155","19,151",,"$5,471,502",758,,,101,22,"$12,835","14,424","2,558",5.90%,3.76%,14.29%,42,31,56,42,24,17,8,9,0,0,14,27,959,495,,,,,41,17,212,14,7,5,12,0,0,0,1,17,81,0,9,39,0,,,173,27.39306358,6,0,0,0,173,0,0,0,0,0,0,0,0,173,,95,0,,44,,0,,,173,95,65,,,173,61,17,42,22,35,36,0,0,0,39,0,0,0,0,0,2,0,*,42,*,*,*,*,*,0,*,64,16,1,0,17,18,0,1
Sierra,February,2026,326,226,,"$57,237",,,,*,0,$0,166,0,6.00%,3.76%,14.29%,42,0,0,0,0,0,0,0,0,0,0,0,10,3,,,,,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0
Siskiyou,February,2026,"8,831","5,416",,"$1,639,322",165,,,38,*,"$3,224","5,914","1,053",9.60%,3.76%,14.29%,42,5,6,5,13,4,0,4,0,0,6,11,206,117,,,,,47,23,178,0,0,0,3,0,0,0,0,3,11,0,0,5,0,,,19,30.89473684,2,0,0,0,19,0,0,0,0,0,0,0,0,19,,13,0,0,,,0,,0,19,,,0,,19,,,,0,,,0,0,0,17,0,0,0,0,0,0,0,*,16,*,*,*,*,0,0,*,28,10,0,0,10,11,0,0
Solano,February,2026,"52,336","32,348",,"$10,213,150",1391,,,150,21,"$50,116","22,707","3,155",5.40%,4.95%,0.00%,2,72,80,76,58,28,13,14,2,0,37,49,"1,855",985,,,,,45,14,169,17,7,9,16,0,0,0,16,15,167,0,2,59,0,,,284,27.52464789,9,0,0,0,271,0,0,0,0,0,13,0,0,284,45,45,35,55,80,,,,13,284,195,73,,,284,57,48,13,50,68,21,0,0,0,81,0,0,0,0,0,4,1,22,35,15,46,*,*,*,*,13,150,40,4,0,44,42,3,1
Sonoma,February,2026,"42,160","27,229",,"$8,224,706",1157,,,73,*,"$98,604","10,204","1,076",4.40%,3.76%,14.29%,42,57,55,68,37,18,7,11,0,0,21,34,"1,613",814,,,,,46,17,192,16,1,8,16,0,0,3,5,5,131,1,2,46,,213,,218,25.37155963,7,0,0,0,205,0,0,0,0,0,,0,,218,43,61,,,62,,0,,32,218,141,68,,,218,96,30,67,34,16,,0,0,1,47,0,0,0,0,0,7,0,15,25,*,*,*,*,0,*,19,79,32,0,0,32,30,0,1
Stanislaus,February,2026,"89,683","49,805",,"$16,678,717",2006,,,234,48,"$71,743","37,583","7,466",7.40%,6.22%,0.00%,2,78,106,97,84,35,11,23,0,0,44,75,"2,574","1,203",,,,,45,18,234,22,21,4,20,0,0,2,20,17,177,0,21,83,0,,,360,25.36666667,13,0,0,0,326,,0,0,,0,29,,0,360,85,83,14,15,99,,,,53,360,246,110,,,360,134,55,83,61,58,,0,0,0,101,0,0,0,2,0,16,0,35,71,26,*,33,0,0,*,51,231,50,3,0,53,75,0,1
Sutter,February,2026,"16,338","8,379",,"$3,073,878",336,,,29,15,"$35,080","4,542","1,921",10.10%,3.76%,14.29%,42,10,18,7,23,12,6,6,0,0,17,18,406,228,,,,,46,13,250,6,3,0,0,0,0,0,0,9,17,0,8,10,0,,,47,24.9787234,3,0,0,0,,0,0,0,0,0,,0,0,47,11,12,,0,15,0,0,,,47,33,,,0,47,19,19,,15,,,0,0,0,32,0,0,0,2,0,1,0,*,22,*,*,*,*,0,0,*,44,18,1,0,19,19,1,0
Tehama,February,2026,"11,372","6,723",,"$1,984,109",252,,,43,*,"$2,489","6,346","1,382",6.50%,3.76%,14.29%,42,9,10,8,5,5,3,2,0,0,5,5,352,167,,,,,38,20,136,1,0,3,0,0,0,0,3,3,13,0,5,9,0,,,33,25.54545455,0,0,0,0,,0,0,0,0,0,,0,0,33,,12,,,,,0,0,,33,,,0,0,33,17,,,,,,0,0,0,9,0,0,0,0,0,1,0,*,11,0,0,*,0,0,0,*,21,5,0,0,5,8,0,0
Trinity,February,2026,"2,933","1,865",,"$558,886",49,,,*,*,$644,"1,169",700,6.90%,3.76%,14.29%,42,0,0,1,5,2,1,1,0,0,2,5,100,26,,,,,53,10,354,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,38,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,*,0,0,*,*,0,0,0,*,2,1,0,3,5,0,0
Tulare,February,2026,"125,791","61,952",,"$24,200,658",3752,,,349,52,"$161,822","57,576","7,108",11.50%,5.64%,50.00%,2,160,123,103,88,29,15,14,1,0,25,92,"2,701","1,054",,,,,40,9,260,61,5,10,9,0,0,5,18,14,217,1,0,168,0,,,491,24.86965377,7,0,0,0,408,0,0,0,0,0,83,0,0,491,254,44,,13,125,,,,41,491,351,,0,,491,261,144,114,67,104,,0,0,0,84,0,0,0,0,0,33,0,139,44,*,*,*,*,*,*,33,249,39,6,0,45,82,3,0
Tuolumne,February,2026,"6,317","4,302",,"$1,157,838",154,,,13,*,$862,"1,848",301,5.70%,3.76%,14.29%,42,9,7,9,10,5,1,3,0,0,0,15,247,106,,,,,47,13,116,2,0,1,1,0,0,0,1,2,17,0,1,7,,29,,32,27.40625,2,0,0,0,32,0,0,0,0,0,0,0,0,32,,24,0,,,0,0,,,32,24,,,0,32,16,,,,,0,0,0,0,15,0,0,0,0,0,0,0,*,11,0,0,*,0,0,0,*,17,8,0,0,8,8,0,0
Ventura,February,2026,"69,737","41,453",,"$13,441,492",1600,,,103,16,"$74,761","15,337","2,945",4.80%,12.82%,33.33%,3,79,207,196,71,42,15,26,1,3,43,70,"2,643","1,419",,,,,42,31,250,57,19,53,27,0,0,9,19,22,378,0,1,103,0,,,573,26.01919721,13,0,0,0,516,,0,0,0,0,,0,0,573,172,98,,22,218,0,0,,36,573,378,161,,,573,143,100,55,110,88,30,0,0,0,88,0,0,1,3,0,21,0,86,38,12,*,21,*,0,14,33,209,39,5,0,44,70,0,0
Yolo,February,2026,"27,484","18,859",,"$5,804,745",6716,,,33,13,"$41,067","4,708","1,178",6.20%,3.76%,14.29%,42,422,200,151,23,15,4,8,0,1,12,26,"1,245",760,,,,,44,16,205,50,8,40,59,0,0,3,22,18,586,0,0,187,0,,,1048,21.72423664,26,0,0,,1031,0,0,0,,,11,0,0,1048,151,172,140,37,442,,,47,54,1048,651,372,13,12,1048,834,388,462,53,28,98,0,0,0,30,0,0,0,1,2,5,0,*,22,*,*,*,0,0,*,*,60,16,1,0,17,21,0,0
Yuba,February,2026,"18,379","10,170",,"$3,527,477",334,,,85,17,"$16,834","13,600","2,257",7.30%,3.76%,14.29%,42,17,15,14,13,12,3,9,0,1,8,17,441,227,,,,,49,14,204,6,0,0,3,0,0,0,3,3,27,0,2,17,0,,,60,26.01666667,6,0,0,0,,0,0,0,0,0,,0,0,60,11,18,,,14,0,,,,60,48,12,0,0,60,17,13,,13,14,,0,0,0,25,0,0,0,0,0,0,0,*,29,*,0,*,0,0,0,*,38,9,0,0,9,13,0,0
Statewide,March,2026,"5,200,088","3,114,032",,"$1,009,527,908",203186,5148594,51494,"9,808","1,429","$8,868,910","1,487,686","214,100",5.20%,,,,9837,11192,9522,"5,300","2,404",925,1423,91,100,3184,4520,"181,748","105,232",,,,,48,14,205,2606,1097,1580,2511,0,5,252,1530,1548,21446,31,2428,6646,44,38997,682,39723,24.91010246,830,0,,40,36722,43,27,26,153,49,2556,98,,39723,9790,6288,3208,3295,11472,122,106,1259,4183,39723,25315,13409,275,724,39723,20340,11242,9553,4902,4718,2334,10,11,60,"5,954",35,62,30,87,26,"1,277",152,"3,707","2,734","1,676","2,148","1,209",71,34,454,"1,876","13,909","3,511",238,2,"3,751",4782,61,51
Alameda,March,2026,"165,970","106,214",,"$32,714,006",8895,,,432,42,"$536,995","61,000","6,097",4.30%,,,,377,464,379,194,72,20,50,1,4,100,166,"6,123","3,873",,,,,50,9,140,153,31,55,117,0,0,9,50,43,1019,0,7,194,,1579,,1615,25.07430341,52,0,0,13,1521,,,,,0,60,,,1615,221,160,184,189,491,,,109,253,1615,1034,543,16,22,1615,637,423,229,215,125,304,0,1,15,227,0,1,2,2,0,14,4,50,36,83,158,20,*,*,34,113,497,147,12,0,159,166,4,2
Alpine,March,2026,166,103,,"$30,114",,,,*,0,$0,124,0,6.80%,,,,0,0,0,0,0,0,0,0,0,0,0,5,1,,,,,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador,March,2026,"4,259","2,726",,"$762,008",66,,,*,0,"$1,189",992,0,5.80%,,,,1,2,3,4,0,0,0,0,0,1,3,153,78,,,,,52,7,159,0,0,0,0,0,0,0,2,0,3,0,1,2,0,,,,33.5,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,,,,0,,,0,0,0,0,4,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,*,*,4,0,0,4,4,0,0
